GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
cocktails,cat.albirar.daw.cocktails.models,CocktailDetailBean,260,0,46,0,48,0,34,0,11,0
cocktails,cat.albirar.daw.cocktails.models,CocktailDetailBean.CocktailDetailBeanBuilder,65,0,0,0,12,0,7,0,7,0
cocktails,cat.albirar.daw.cocktails.models,CocktailDetailBean.CocktailDetailBeanBuilderImpl,7,0,0,0,2,0,2,0,2,0
cocktails,cat.albirar.daw.cocktails.service.impl,CocktailsServiceImpl,30,3,2,0,6,1,3,1,2,1
cocktails,cat.albirar.daw.cocktails.crypt,CocktailsPasswordEncoder,32,3,0,0,7,1,2,1,2,1
cocktails,cat.albirar.daw.cocktails.controllers,MainController,34,3,2,0,8,1,4,1,3,1
cocktails,cat.albirar.daw.cocktails,CocktailsConfiguration,0,116,0,0,0,27,0,10,0,10
cocktails,cat.albirar.daw.cocktails,CocktailsApplication,5,3,0,0,2,1,1,1,1,1
cocktails,cat.albirar.daw.cocktails.service.mappers,CocktailDetailBeanMapper,24,3,0,0,7,1,1,1,1,1
